description,segment,category,subcategory
CAFE 3 CORACOES TRAD SOLUV SACH REF  50G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES TRAD SOLUV SACH REF  50G
CAFE 3 CORACOES TRADICIONAL ATM     500G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES TRADICIONAL ATM     500G
CAFE 3 CORACOES TRADICIONAL LV500 PG475G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES TRADICIONAL LV500 PG475G
CAFE 3 CORACOES TRADICIONAL VACUO   250G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES TRADICIONAL VACUO   250G
CAFE 3 CORACOES TRADICIONAL VACUO   500G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES TRADICIONAL VACUO   500G
CAFE 3CORAC 250G VACUO PREM ESTRADA REAL,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3CORAC 250G VACUO PREM ESTRADA REAL
CAFE 3CORACOES GOURMET 250G SUL DE MINAS,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3CORACOES GOURMET 250G SUL DE MINAS
CAFE BOM JESUS EXTRA FORTE      CX 500GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE BOM JESUS EXTRA FORTE      CX 500GR
CAFE BOM JESUS TRADICIONAL      CX 500GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE BOM JESUS TRADICIONAL      CX 500GR
CAFE BRASILEIRO EXT FORT STAND PACK 500g,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE BRASILEIRO EXT FORT STAND PACK 500g
CAFE C/LEITE NESCAFE D.GUSTO DESNAT C/16,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE C/LEITE NESCAFE D.GUSTO DESNAT C/16
CAFE CABOCLO EXTRA FORTE        PE 500GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CABOCLO EXTRA FORTE        PE 500GR
CAFE CABOCLO EXTRA FORTE VACUO      500G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CABOCLO EXTRA FORTE VACUO      500G
CAFE CABOCLO TRAD VACUO LV500G PG475G UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CABOCLO TRAD VACUO LV500G PG475G UN
CAFE CABOCLO TRADICIONAL        PE 250GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CABOCLO TRADICIONAL        PE 250GR
CAFE CABOCLO TRADICIONAL        PE 500GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CABOCLO TRADICIONAL        PE 500GR
CAFE CABOCLO VACUO                  250G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CABOCLO VACUO                  250G
CAFE CABOCLO VACUO                  500G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CABOCLO VACUO                  500G
CAFE CABOCLO VACUO         LV500G PG475G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CABOCLO VACUO         LV500G PG475G
CAFE CANECAO EX.FORTE           PE  500G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CANECAO EX.FORTE           PE  500G
CAFE CANECAO TRADICIONAL        PE  500G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CANECAO TRADICIONAL        PE  500G
CAFE CAP 3CORACOES NESPRE CERR 50G 10UNI,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP 3CORACOES NESPRE CERR 50G 10UNI
CAFE CAP 3CORACOES NESPRE INTE 50G 10UNI,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP 3CORACOES NESPRE INTE 50G 10UNI
CAFE CAP 3CORACOES NESPRE MOG 50G 10UNID,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP 3CORACOES NESPRE MOG 50G 10UNID
CAFE CAP 3CORACOES RITUAI CERRAD 80G 10U,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP 3CORACOES RITUAI CERRAD 80G 10U
CAFE CAP 3CORACOES RITUAIS MOGI 80G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP 3CORACOES RITUAIS MOGI 80G 10UN
CAFE CAP ALU LOR ESPRE BAUNILHA 52G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP ALU LOR ESPRE BAUNILHA 52G 10UN
CAFE CAP ALU LOR ESPRE CARAMELO 52G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP ALU LOR ESPRE CARAMELO 52G 10UN
CAFE CAP ALU LOR ESPRE DECA RIS 52G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP ALU LOR ESPRE DECA RIS 52G 10UN
CAFE CAP ALU LOR ESPRES ESTREMO 52G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP ALU LOR ESPRES ESTREMO 52G 10UN
CAFE CAP ALU LOR ESPRES RISTRE 104G 20UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP ALU LOR ESPRES RISTRE 104G 20UN
CAFE CAP ALU LOR ESPRES RISTRET 52G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP ALU LOR ESPRES RISTRET 52G 10UN
CAFE CAP ALU LOR ESPRES SONTUOS 52G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP ALU LOR ESPRES SONTUOS 52G 10UN
CAFE CAP ALU LOR ESPRESS FORZA  52G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP ALU LOR ESPRESS FORZA  52G 10UN
CAFE CAP ALU LOR ESPRESSO PAPUA 52G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP ALU LOR ESPRESSO PAPUA 52G 10UN
CAFE CAP ALU PILAO ESPRESSO 12 104G 20UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP ALU PILAO ESPRESSO 12 104G 20UN
CAFE CAP ALUM SPRESS LOR GUATEM 52G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP ALUM SPRESS LOR GUATEM 52G 10UN
CAFE CAP DOLCE GUSTO MOCH CANE 275G 16UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP DOLCE GUSTO MOCH CANE 275G 16UN
