new_subcategory,family,category,segment
CREME PARA CABELO,77-HIGIENE CAPILAR,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
FINALIZADOR LEAVE IN,77-HIGIENE CAPILAR,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
KIT PARA CABELOS,77-HIGIENE CAPILAR,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
SHAMPOO,77-HIGIENE CAPILAR,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
APARELHO DE BARBEAR E DEPILATORIO,78-HIGIENE CORPORAL,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
ESPUMA OU GEL DE BARBEAR,78-HIGIENE CORPORAL,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
SABONETE,78-HIGIENE CORPORAL,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
ALVEJANTE,79-LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
AMACIANTE,79-LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
LAVA ROUPAS,79-LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
OUTRO PRODUTO DE LAVANDERIA,79-LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
PASSA FACIL,79-LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
SABAO EM PEDRA,79-LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
COALHADA,7-LATICINIOS REFRIGERADOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
GORDURA VEGETAL,7-LATICINIOS REFRIGERADOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
IOGURTE,7-LATICINIOS REFRIGERADOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
LEITE FERMENTADO,7-LATICINIOS REFRIGERADOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
MANTEIGA,7-LATICINIOS REFRIGERADOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
MARGARINA,7-LATICINIOS REFRIGERADOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
OUTRO LATICINIO REFRIGEIRADO,7-LATICINIOS REFRIGERADOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
